Release,version,Action,Method,Old class,New class (– if none)
rel_1_16,v1beta1,DELETED,createSelfSubjectRulesReview,SelfSubjectRulesReview,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta1,DELETED,createNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta1,DELETED,deleteNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta1,DELETED,readNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta1,DELETED,patchNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta1,DELETED,replaceNamespacedStatefulSet,StatefulSet,--
rel_1_16,v1beta1,DELETED,replaceNamespacedStatefulSetStatus,StatefulSet,--
rel_1_16,v1beta1,DELETED,deleteCollectionValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,createValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,deleteValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,readValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,patchValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,replaceValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,deleteCollectionStorageClass,StorageClass,--
rel_1_16,v1beta1,DELETED,createStorageClass,StorageClass,--
rel_1_16,v1beta1,DELETED,deleteStorageClass,StorageClass,--
rel_1_16,v1beta1,DELETED,readStorageClass,StorageClass,--
rel_1_16,v1beta1,DELETED,patchStorageClass,StorageClass,--
rel_1_16,v1beta1,DELETED,replaceStorageClass,StorageClass,--
rel_1_16,v1beta1,DELETED,deleteCollectionClusterRole,ClusterRole,--
rel_1_16,v1beta1,DELETED,createClusterRole,ClusterRole,--
rel_1_16,v1beta1,DELETED,deleteClusterRole,ClusterRole,--
rel_1_16,v1beta1,DELETED,readClusterRole,ClusterRole,--
rel_1_16,v1beta1,DELETED,patchClusterRole,ClusterRole,--
rel_1_16,v1beta1,DELETED,replaceClusterRole,ClusterRole,--
rel_1_16,v1beta1,DELETED,listClusterRole,ClusterRoleList,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedRoleBinding,RoleBinding,--
rel_1_16,v1beta1,DELETED,createNamespacedRoleBinding,RoleBinding,--
rel_1_16,v1beta1,DELETED,deleteNamespacedRoleBinding,RoleBinding,--
rel_1_16,v1beta1,DELETED,readNamespacedRoleBinding,RoleBinding,--
rel_1_16,v1beta1,DELETED,patchNamespacedRoleBinding,RoleBinding,--
rel_1_16,v1beta1,DELETED,replaceNamespacedRoleBinding,RoleBinding,--
rel_1_16,v1beta1,DELETED,listNamespacedRoleBinding,RoleBindingList,--
rel_1_16,v1beta1,DELETED,listRoleBindingForAllNamespaces,RoleBindingList,--
rel_1_16,v1beta1,DELETED,deleteCollectionAPIService,APIService,--
rel_1_16,v1beta1,DELETED,createAPIService,APIService,--
rel_1_16,v1beta1,DELETED,deleteAPIService,APIService,--
rel_1_16,v1beta1,DELETED,readAPIService,APIService,--
rel_1_16,v1beta1,DELETED,patchAPIService,APIService,--
rel_1_16,v1beta1,DELETED,replaceAPIService,APIService,--
rel_1_16,v1beta1,DELETED,replaceAPIServiceStatus,APIService,--
rel_1_16,v1beta1,DELETED,listAPIService,APIServiceList,--
rel_1_16,v1beta1,DELETED,deleteCollectionClusterRoleBinding,ClusterRoleBinding,--
rel_1_16,v1beta1,DELETED,createClusterRoleBinding,ClusterRoleBinding,--
rel_1_16,v1beta1,DELETED,deleteClusterRoleBinding,ClusterRoleBinding,--
rel_1_16,v1beta1,DELETED,readClusterRoleBinding,ClusterRoleBinding,--
rel_1_16,v1beta1,DELETED,patchClusterRoleBinding,ClusterRoleBinding,--
rel_1_16,v1beta1,DELETED,replaceClusterRoleBinding,ClusterRoleBinding,--
rel_1_16,v1beta1,DELETED,createNamespacedLocalSubjectAccessReview,LocalSubjectAccessReview,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedLease,Lease,--
rel_1_16,v1beta1,DELETED,createNamespacedLease,Lease,--
rel_1_16,v1beta1,DELETED,deleteNamespacedLease,Lease,--
rel_1_16,v1beta1,DELETED,readNamespacedLease,Lease,--
rel_1_16,v1beta1,DELETED,patchNamespacedLease,Lease,--
rel_1_16,v1beta1,DELETED,replaceNamespacedLease,Lease,--
rel_1_16,v1beta1,DELETED,listLeaseForAllNamespaces,LeaseList,--
rel_1_16,v1beta1,DELETED,listNamespacedLease,LeaseList,--
rel_1_16,v1beta1,DELETED,deleteCollectionCSIDriver,Status,--
rel_1_16,v1beta1,DELETED,deleteCSIDriver,Status,--
rel_1_16,v1beta1,DELETED,deleteCollectionCSINode,Status,--
rel_1_16,v1beta1,DELETED,deleteCSINode,Status,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta1,DELETED,createNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta1,DELETED,deleteNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta1,DELETED,readNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta1,DELETED,patchNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta1,DELETED,replaceNamespacedReplicaSet,ReplicaSet,--
rel_1_16,v1beta1,DELETED,replaceNamespacedReplicaSetStatus,ReplicaSet,--
rel_1_16,v1beta1,DELETED,listNamespacedReplicaSet,ReplicaSetList,--
rel_1_16,v1beta1,DELETED,listReplicaSetForAllNamespaces,ReplicaSetList,--
rel_1_16,v1beta1,DELETED,deleteCollectionCustomResourceDefinition,CustomResourceDefinition,--
rel_1_16,v1beta1,DELETED,createCustomResourceDefinition,CustomResourceDefinition,--
rel_1_16,v1beta1,DELETED,deleteCustomResourceDefinition,CustomResourceDefinition,--
rel_1_16,v1beta1,DELETED,readCustomResourceDefinition,CustomResourceDefinition,--
rel_1_16,v1beta1,DELETED,patchCustomResourceDefinition,CustomResourceDefinition,--
